fir_number,date,district,area,crime_type,sections,modus_operandi,status,is_synthetic
FIR-2025-HAS-0668,2025-04-16,Hassan,Sha Zila,Rioting,BNS 191,protest escalation,convicted,True
FIR-2024-HAS-0669,2024-10-14,Hassan,Bail,Extortion,BNS 308,protection money demand,closed,True
FIR-2024-VIJ-0670,2024-03-02,Vijayapur,Tailor Road,Extortion,BNS 308,digital arrest threat call,court-pending,True
FIR-2024-KAL-0671,2024-04-18,Kalaburagi,Sinha Ganj,NDPS,NDPS Act 20,courier parcel concealment,closed,True
FIR-2024-DAK-0672,2024-03-11,Dakshina Kannada,Dey Zila,Burglary,BNS 331,terrace entry,closed,True
FIR-2024-CHI-0673,2024-07-10,Chickballapura,Pathak Chowk,Burglary,BNS 331,night house-break via rear entry,charge-sheeted,True
FIR-2025-KOL-0674,2025-03-17,Kolar,Bassi Ganj,NDPS,NDPS Act 20,courier parcel concealment,under-investigation,True
FIR-2025-CHI-0675,2025-09-14,Chickballapura,Pathak Chowk,NDPS,NDPS Act 20,street-level peddling,under-investigation,True
FIR-2025-DAV-0676,2025-08-12,Davanagere,Bali Road,Murder,BNS 103,personal enmity,under-investigation,True
FIR-2025-VIJ-0677,2025-05-22,Vijayapur,Chatterjee Zila,Theft,BNS 303,shop till theft,convicted,True
FIR-2025-CHI-0678,2025-12-18,Chickballapura,Soni Zila,NDPS,NDPS Act 20,hostel network supply,convicted,True
FIR-2025-DAK-0679,2025-03-14,Dakshina Kannada,Dey Zila,Chain Snatching,BNS 304,two-wheeler drive-by snatching,closed,True
FIR-2024-MYS-0680,2024-04-22,Mysuru,Mahajan Circle,Extortion,BNS 308,digital arrest threat call,court-pending,True
FIR-2024-BAG-0681,2024-12-09,Bagalkot,Ben Road,Theft,BNS 303,pickpocketing in transit,convicted,True
FIR-2024-KOL-0682,2024-10-03,Kolar,Chopra Circle,Robbery,BNS 309,ATM-exit targeting,convicted,True
FIR-2025-BEL-0683,2025-01-21,Belagavi,Pillay Chowk,Cyber Fraud,IT Act 66D,courier scam,convicted,True
FIR-2024-SHI-0684,2024-10-09,Shivamogga,Pillai Zila,Cheating,BNS 318,land document forgery,closed,True
FIR-2024-SHI-0685,2024-06-15,Shivamogga,Patil Ganj,Chain Snatching,BNS 304,two-wheeler drive-by snatching,convicted,True
FIR-2024-DAV-0686,2024-02-21,Davanagere,Bali Road,Murder,BNS 103,property dispute,charge-sheeted,True
FIR-2024-TUM-0687,2024-07-20,Tumakuru,Pau Marg,Chain Snatching,BNS 304,two-wheeler drive-by snatching,closed,True
FIR-2025-SHI-0688,2025-09-03,Shivamogga,Pillai Zila,Theft,BNS 303,pickpocketing in transit,court-pending,True
FIR-2024-DHA-0689,2024-05-18,Dharwad,Ghosh Road,Theft,BNS 303,vehicle theft from parking,charge-sheeted,True
FIR-2025-HAS-0690,2025-12-11,Hassan,Kala Zila,Robbery,BNS 309,highway vehicle stop,charge-sheeted,True
FIR-2024-BAL-0691,2024-11-05,Ballari,Dubey,Robbery,BNS 309,highway vehicle stop,court-pending,True
FIR-2025-BAG-0692,2025-06-14,Bagalkot,Khanna Path,Extortion,BNS 308,digital arrest threat call,under-investigation,True
FIR-2024-KOL-0693,2024-05-04,Kolar,Chopra Circle,Murder,BNS 103,gang rivalry,convicted,True
FIR-2025-SHI-0694,2025-10-05,Shivamogga,Patil Ganj,Theft,BNS 303,pickpocketing in transit,convicted,True
FIR-2024-BAL-0695,2024-04-09,Ballari,Saini Circle,NDPS,NDPS Act 20,courier parcel concealment,court-pending,True
FIR-2024-BAG-0696,2024-09-23,Bagalkot,Khanna Path,NDPS,NDPS Act 20,hostel network supply,charge-sheeted,True
FIR-2024-BEL-0697,2024-10-23,Belagavi,Raj Road,Theft,BNS 303,shop till theft,charge-sheeted,True
FIR-2024-BEN-0698,2024-05-31,Bengaluru City,Zacharia Street,Cheating,BNS 318,land document forgery,charge-sheeted,True
FIR-2025-KOL-0699,2025-05-30,Kolar,Mitra Circle,Chain Snatching,BNS 304,two-wheeler drive-by snatching,court-pending,True
FIR-2024-CHI-0700,2024-03-10,Chickballapura,Pathak Chowk,Cheating,BNS 318,land document forgery,closed,True
FIR-2024-BAL-0701,2024-06-11,Ballari,Prabhakar Chowk,Murder,BNS 103,property dispute,court-pending,True
FIR-2024-TUM-0702,2024-04-27,Tumakuru,Rana Zila,Robbery,BNS 309,ATM-exit targeting,convicted,True
FIR-2025-DAV-0703,2025-07-23,Davanagere,Saxena Chowk,Rioting,BNS 191,protest escalation,charge-sheeted,True
FIR-2024-KAL-0704,2024-07-27,Kalaburagi,Chokshi Path,Robbery,BNS 309,highway vehicle stop,charge-sheeted,True
FIR-2024-UDU-0705,2024-03-09,Udupi,Kalita,Rioting,BNS 191,communal flashpoint clash,court-pending,True
FIR-2025-RAI-0706,2025-09-07,Raichur,Sandhu Marg,Murder,BNS 103,property dispute,under-investigation,True
FIR-2025-BAL-0707,2025-08-12,Ballari,Dubey,NDPS,NDPS Act 20,street-level peddling,charge-sheeted,True
FIR-2024-DHA-0708,2024-12-12,Dharwad,Bal Zila,Murder,BNS 103,personal enmity,under-investigation,True
FIR-2025-TUM-0709,2025-09-04,Tumakuru,Rana Zila,Cheating,BNS 318,fake job placement racket,closed,True
FIR-2024-UDU-0710,2024-02-23,Udupi,Narasimhan Ganj,Burglary,BNS 331,lock-picking daytime entry,charge-sheeted,True
FIR-2024-BAL-0711,2024-08-31,Ballari,Prabhakar Chowk,Murder,BNS 103,personal enmity,court-pending,True
FIR-2024-KAL-0712,2024-02-28,Kalaburagi,Kant,Burglary,BNS 331,terrace entry,closed,True
FIR-2024-RAI-0713,2024-03-19,Raichur,Srinivas Nagar,Robbery,BNS 309,ATM-exit targeting,charge-sheeted,True
FIR-2025-BAL-0714,2025-07-18,Ballari,Dubey,Cyber Fraud,IT Act 66D,UPI phishing call,charge-sheeted,True
FIR-2024-BEL-0715,2024-08-03,Belagavi,Pillay Chowk,NDPS,NDPS Act 20,street-level peddling,convicted,True
FIR-2024-UDU-0716,2024-10-11,Udupi,Agate Street,Theft,BNS 303,vehicle theft from parking,convicted,True
FIR-2025-MYS-0717,2025-03-30,Mysuru,Kurian Street,Cheating,BNS 318,investment ponzi scheme,under-investigation,True
FIR-2025-VIJ-0718,2025-08-28,Vijayapur,Tailor Road,Theft,BNS 303,pickpocketing in transit,charge-sheeted,True
FIR-2025-KOL-0719,2025-08-09,Kolar,Bassi Ganj,Cheating,BNS 318,fake job placement racket,under-investigation,True
FIR-2024-BAL-0720,2024-03-28,Ballari,Dubey,Theft,BNS 303,shop till theft,charge-sheeted,True
FIR-2024-BAG-0721,2024-07-02,Bagalkot,Ben Road,Theft,BNS 303,shop till theft,convicted,True
FIR-2024-RAI-0722,2024-03-22,Raichur,Sandhu Marg,Rioting,BNS 191,protest escalation,closed,True
FIR-2025-MYS-0723,2025-11-02,Mysuru,Kurian Street,Chain Snatching,BNS 304,two-wheeler drive-by snatching,under-investigation,True
FIR-2024-DAV-0724,2024-09-22,Davanagere,Reddy Chowk,Murder,BNS 103,property dispute,court-pending,True
FIR-2025-VIJ-0725,2025-06-07,Vijayapur,Yogi Ganj,Robbery,BNS 309,ATM-exit targeting,court-pending,True
FIR-2025-MAN-0726,2025-02-21,Mandya,Johal Zila,Cyber Fraud,IT Act 66D,OTP social engineering,closed,True
FIR-2024-KOL-0727,2024-11-16,Kolar,Bassi Ganj,Burglary,BNS 331,lock-picking daytime entry,closed,True
FIR-2025-KOL-0728,2025-09-13,Kolar,Mitra Circle,Robbery,BNS 309,knife-point street robbery,charge-sheeted,True
FIR-2024-BEL-0729,2024-08-24,Belagavi,Dasgupta Circle,Cyber Fraud,IT Act 66D,courier scam,charge-sheeted,True
FIR-2025-DHA-0730,2025-07-04,Dharwad,Ghosh Road,Chain Snatching,BNS 304,market crowd snatching,court-pending,True
FIR-2024-DAK-0731,2024-01-16,Dakshina Kannada,Shetty Zila,Extortion,BNS 308,digital arrest threat call,charge-sheeted,True
FIR-2024-RAI-0732,2024-05-10,Raichur,Srinivas Nagar,Cyber Fraud,IT Act 66D,UPI phishing call,convicted,True
FIR-2025-DHA-0733,2025-10-07,Dharwad,Bal Zila,Cyber Fraud,IT Act 66D,fake loan app extortion,convicted,True
FIR-2025-HAS-0734,2025-01-23,Hassan,Bail,Extortion,BNS 308,digital arrest threat call,under-investigation,True
FIR-2024-VIJ-0735,2024-02-12,Vijayapur,Rama Street,Cyber Fraud,IT Act 66D,OTP social engineering,court-pending,True
FIR-2025-BEL-0736,2025-11-13,Belagavi,Dasgupta Circle,Rioting,BNS 191,communal flashpoint clash,court-pending,True
FIR-2025-VIJ-0737,2025-01-13,Vijayapur,Yogi Ganj,Murder,BNS 103,gang rivalry,closed,True
FIR-2025-CHI-0738,2025-03-18,Chickballapura,Soni Zila,Extortion,BNS 308,protection money demand,under-investigation,True
FIR-2024-DAK-0739,2024-11-30,Dakshina Kannada,Dey Zila,Robbery,BNS 309,ATM-exit targeting,under-investigation,True
FIR-2024-VIJ-0740,2024-11-21,Vijayapur,Tailor Road,NDPS,NDPS Act 20,hostel network supply,closed,True
FIR-2024-KAL-0741,2024-10-16,Kalaburagi,Sinha Ganj,Extortion,BNS 308,protection money demand,court-pending,True
FIR-2025-VIJ-0742,2025-09-17,Vijayapur,Chatterjee Zila,NDPS,NDPS Act 20,hostel network supply,under-investigation,True
FIR-2024-CHI-0743,2024-10-26,Chickballapura,Pathak Chowk,Burglary,BNS 331,lock-picking daytime entry,convicted,True
FIR-2025-HAS-0744,2025-04-02,Hassan,Sha Zila,Cheating,BNS 318,investment ponzi scheme,court-pending,True
FIR-2025-DHA-0745,2025-05-15,Dharwad,Ghosh Road,Extortion,BNS 308,digital arrest threat call,under-investigation,True
FIR-2025-UDU-0746,2025-03-11,Udupi,Agate Street,Extortion,BNS 308,digital arrest threat call,closed,True
FIR-2024-MAN-0747,2024-12-07,Mandya,Nath Nagar,Robbery,BNS 309,ATM-exit targeting,court-pending,True
FIR-2024-RAI-0748,2024-12-05,Raichur,Srinivas Nagar,Cyber Fraud,IT Act 66D,UPI phishing call,closed,True
FIR-2024-BEN-0749,2024-11-04,Bengaluru City,Iyer Street,Theft,BNS 303,pickpocketing in transit,court-pending,True
FIR-2025-DHA-0750,2025-12-21,Dharwad,Zachariah Street,Robbery,BNS 309,ATM-exit targeting,under-investigation,True
FIR-2025-BEN-0751,2025-06-08,Bengaluru City,Zacharia Street,Cheating,BNS 318,investment ponzi scheme,under-investigation,True
FIR-2024-CHI-0752,2024-10-12,Chickballapura,Soni Zila,NDPS,NDPS Act 20,hostel network supply,closed,True
FIR-2024-BAL-0753,2024-01-26,Ballari,Chaudhary Marg,Rioting,BNS 191,communal flashpoint clash,charge-sheeted,True
FIR-2025-BAL-0754,2025-05-16,Ballari,Prabhakar Chowk,Burglary,BNS 331,terrace entry,under-investigation,True
FIR-2025-SHI-0755,2025-02-25,Shivamogga,Parmer Circle,Theft,BNS 303,vehicle theft from parking,convicted,True
FIR-2025-HAS-0756,2025-05-26,Hassan,Sha Zila,NDPS,NDPS Act 20,hostel network supply,charge-sheeted,True
FIR-2024-KOL-0757,2024-06-14,Kolar,Chopra Circle,Murder,BNS 103,personal enmity,convicted,True
FIR-2024-DHA-0758,2024-04-30,Dharwad,Bal Zila,Theft,BNS 303,pickpocketing in transit,convicted,True
FIR-2024-CHI-0759,2024-09-14,Chickballapura,Pathak Chowk,Rioting,BNS 191,communal flashpoint clash,court-pending,True
FIR-2025-BEN-0760,2025-04-26,Bengaluru City,Zacharia Street,Chain Snatching,BNS 304,two-wheeler drive-by snatching,convicted,True
FIR-2024-RAI-0761,2024-06-09,Raichur,Srinivas Nagar,Rioting,BNS 191,communal flashpoint clash,charge-sheeted,True
FIR-2025-RAI-0762,2025-07-28,Raichur,Srinivas Nagar,Theft,BNS 303,vehicle theft from parking,under-investigation,True
FIR-2025-BEN-0763,2025-04-29,Bengaluru City,Iyer Street,Cyber Fraud,IT Act 66D,UPI phishing call,closed,True
FIR-2024-BAG-0764,2024-02-23,Bagalkot,Ben Road,Robbery,BNS 309,highway vehicle stop,court-pending,True
FIR-2025-CHI-0765,2025-01-29,Chickballapura,Soni Zila,Cheating,BNS 318,land document forgery,charge-sheeted,True
FIR-2025-BEL-0766,2025-12-02,Belagavi,Raj Road,Theft,BNS 303,vehicle theft from parking,court-pending,True
FIR-2025-DAK-0767,2025-01-18,Dakshina Kannada,Shetty Zila,Cheating,BNS 318,fake job placement racket,under-investigation,True
FIR-2024-DAV-0768,2024-02-04,Davanagere,Saxena Chowk,Theft,BNS 303,pickpocketing in transit,charge-sheeted,True
FIR-2025-BAG-0769,2025-09-14,Bagalkot,Ben Road,Extortion,BNS 308,protection money demand,under-investigation,True
FIR-2025-MYS-0770,2025-10-14,Mysuru,Merchant Chowk,Extortion,BNS 308,digital arrest threat call,under-investigation,True
FIR-2025-MYS-0771,2025-11-11,Mysuru,Mahajan Circle,Rioting,BNS 191,communal flashpoint clash,under-investigation,True
FIR-2025-DAK-0772,2025-02-23,Dakshina Kannada,Shetty Zila,NDPS,NDPS Act 20,hostel network supply,charge-sheeted,True
FIR-2024-BEN-0773,2024-03-29,Bengaluru City,Iyer Street,Chain Snatching,BNS 304,two-wheeler drive-by snatching,convicted,True
FIR-2024-MYS-0774,2024-11-13,Mysuru,Contractor Path,Chain Snatching,BNS 304,two-wheeler drive-by snatching,convicted,True
FIR-2025-BAG-0775,2025-12-15,Bagalkot,Ghosh Nagar,Theft,BNS 303,shop till theft,under-investigation,True
FIR-2025-SHI-0776,2025-12-20,Shivamogga,Pillai Zila,Chain Snatching,BNS 304,market crowd snatching,charge-sheeted,True
FIR-2024-BAG-0777,2024-07-09,Bagalkot,Ghosh Nagar,Robbery,BNS 309,highway vehicle stop,charge-sheeted,True
FIR-2024-DHA-0778,2024-06-11,Dharwad,Aurora Street,Murder,BNS 103,gang rivalry,charge-sheeted,True
FIR-2025-BAG-0779,2025-03-25,Bagalkot,Ben Road,Murder,BNS 103,property dispute,convicted,True
FIR-2024-BAL-0780,2024-02-11,Ballari,Prabhakar Chowk,Theft,BNS 303,shop till theft,charge-sheeted,True
FIR-2025-KOL-0781,2025-09-03,Kolar,Thakur Chowk,Theft,BNS 303,pickpocketing in transit,closed,True
FIR-2024-DAK-0782,2024-12-20,Dakshina Kannada,Barad Nagar,Chain Snatching,BNS 304,market crowd snatching,convicted,True
FIR-2025-DAK-0783,2025-01-18,Dakshina Kannada,Dey Zila,Chain Snatching,BNS 304,market crowd snatching,under-investigation,True
FIR-2025-KAL-0784,2025-01-31,Kalaburagi,Kant,Robbery,BNS 309,highway vehicle stop,convicted,True
FIR-2025-DAK-0785,2025-08-23,Dakshina Kannada,Rege Road,Cyber Fraud,IT Act 66D,OTP social engineering,charge-sheeted,True
FIR-2025-TUM-0786,2025-03-21,Tumakuru,Pau Marg,Theft,BNS 303,vehicle theft from parking,charge-sheeted,True
FIR-2024-BAG-0787,2024-04-18,Bagalkot,Khanna Path,NDPS,NDPS Act 20,hostel network supply,charge-sheeted,True
FIR-2025-CHI-0788,2025-12-03,Chickballapura,Pathak Chowk,Chain Snatching,BNS 304,two-wheeler drive-by snatching,charge-sheeted,True
FIR-2025-RAI-0789,2025-03-10,Raichur,Swaminathan Zila,Cyber Fraud,IT Act 66D,UPI phishing call,convicted,True
FIR-2025-MAN-0790,2025-04-16,Mandya,Nath Nagar,Extortion,BNS 308,digital arrest threat call,closed,True
FIR-2025-MYS-0791,2025-09-02,Mysuru,Contractor Path,Cyber Fraud,IT Act 66D,UPI phishing call,under-investigation,True
FIR-2025-BAG-0792,2025-08-05,Bagalkot,Khanna Path,NDPS,NDPS Act 20,courier parcel concealment,under-investigation,True
FIR-2025-UDU-0793,2025-03-08,Udupi,Kalita,Cyber Fraud,IT Act 66D,OTP social engineering,under-investigation,True
FIR-2025-SHI-0794,2025-08-07,Shivamogga,Pillai Zila,Burglary,BNS 331,night house-break via rear entry,convicted,True
FIR-2025-SHI-0795,2025-11-25,Shivamogga,Parmer Circle,Chain Snatching,BNS 304,two-wheeler drive-by snatching,under-investigation,True
FIR-2024-SHI-0796,2024-08-14,Shivamogga,Rao Nagar,Burglary,BNS 331,terrace entry,court-pending,True
FIR-2024-CHI-0797,2024-06-04,Chickballapura,Comar Circle,Cyber Fraud,IT Act 66D,fake loan app extortion,court-pending,True
FIR-2025-SHI-0798,2025-06-26,Shivamogga,Parmer Circle,Robbery,BNS 309,highway vehicle stop,charge-sheeted,True
FIR-2025-BEN-0799,2025-03-17,Bengaluru City,Zacharia Street,Rioting,BNS 191,protest escalation,court-pending,True
FIR-2025-BEL-0800,2025-02-09,Belagavi,Pillay Chowk,Robbery,BNS 309,knife-point street robbery,under-investigation,True
FIR-2025-DAV-0801,2025-09-05,Davanagere,Kalla Path,Cheating,BNS 318,land document forgery,convicted,True
FIR-2025-DAK-0802,2025-04-05,Dakshina Kannada,Rege Road,Theft,BNS 303,vehicle theft from parking,charge-sheeted,True
FIR-2025-DHA-0803,2025-08-17,Dharwad,Aurora Street,Cheating,BNS 318,land document forgery,charge-sheeted,True
FIR-2025-TUM-0804,2025-12-01,Tumakuru,Pau Marg,Extortion,BNS 308,digital arrest threat call,under-investigation,True
FIR-2025-VIJ-0805,2025-12-30,Vijayapur,Yogi Ganj,Extortion,BNS 308,protection money demand,under-investigation,True
FIR-2024-TUM-0806,2024-06-12,Tumakuru,Borra Chowk,Chain Snatching,BNS 304,market crowd snatching,convicted,True
FIR-2024-MYS-0807,2024-01-25,Mysuru,Merchant Chowk,Rioting,BNS 191,communal flashpoint clash,convicted,True
FIR-2025-BEL-0808,2025-08-16,Belagavi,Dasgupta Circle,Theft,BNS 303,pickpocketing in transit,charge-sheeted,True
FIR-2024-BAG-0809,2024-09-23,Bagalkot,Ghosh Nagar,Robbery,BNS 309,ATM-exit targeting,convicted,True
FIR-2024-MAN-0810,2024-08-14,Mandya,Jha,Murder,BNS 103,property dispute,convicted,True
FIR-2025-SHI-0811,2025-12-12,Shivamogga,Rao Nagar,Chain Snatching,BNS 304,two-wheeler drive-by snatching,under-investigation,True
FIR-2025-KOL-0812,2025-10-21,Kolar,Bassi Ganj,Cyber Fraud,IT Act 66D,courier scam,court-pending,True
FIR-2024-TUM-0813,2024-01-15,Tumakuru,Pau Marg,Cheating,BNS 318,fake job placement racket,convicted,True
FIR-2024-MYS-0814,2024-07-26,Mysuru,Contractor Path,Rioting,BNS 191,protest escalation,court-pending,True
FIR-2024-BAG-0815,2024-09-07,Bagalkot,Naik,Chain Snatching,BNS 304,market crowd snatching,under-investigation,True
FIR-2025-CHI-0816,2025-08-18,Chickballapura,Pathak Chowk,Rioting,BNS 191,communal flashpoint clash,under-investigation,True
FIR-2024-CHI-0817,2024-03-26,Chickballapura,Comar Circle,Extortion,BNS 308,digital arrest threat call,court-pending,True
FIR-2025-DAV-0818,2025-09-07,Davanagere,Saxena Chowk,Cheating,BNS 318,fake job placement racket,court-pending,True
FIR-2025-KOL-0819,2025-05-14,Kolar,Mitra Circle,Chain Snatching,BNS 304,two-wheeler drive-by snatching,charge-sheeted,True
FIR-2024-SHI-0820,2024-08-06,Shivamogga,Parmer Circle,Burglary,BNS 331,lock-picking daytime entry,convicted,True
FIR-2024-KOL-0821,2024-06-09,Kolar,Mitra Circle,Burglary,BNS 331,lock-picking daytime entry,court-pending,True
FIR-2024-MAN-0822,2024-12-07,Mandya,Jha,Theft,BNS 303,shop till theft,charge-sheeted,True
FIR-2025-MAN-0823,2025-02-22,Mandya,Dass Ganj,Murder,BNS 103,property dispute,closed,True
FIR-2025-BEN-0824,2025-01-17,Bengaluru City,Zacharia Street,Theft,BNS 303,shop till theft,charge-sheeted,True
FIR-2024-CHI-0825,2024-06-13,Chickballapura,Pathak Chowk,Burglary,BNS 331,night house-break via rear entry,closed,True
FIR-2024-MYS-0826,2024-04-13,Mysuru,Merchant Chowk,Murder,BNS 103,personal enmity,closed,True
FIR-2025-TUM-0827,2025-08-10,Tumakuru,Rana Zila,Chain Snatching,BNS 304,market crowd snatching,under-investigation,True
FIR-2025-BAG-0828,2025-01-04,Bagalkot,Naik,Cyber Fraud,IT Act 66D,courier scam,under-investigation,True
FIR-2024-KOL-0829,2024-02-19,Kolar,Chopra Circle,Extortion,BNS 308,digital arrest threat call,closed,True
FIR-2025-RAI-0830,2025-08-01,Raichur,Balasubramanian Chowk,Robbery,BNS 309,ATM-exit targeting,court-pending,True
FIR-2024-BAG-0831,2024-10-10,Bagalkot,Ben Road,Cheating,BNS 318,land document forgery,closed,True
FIR-2025-UDU-0832,2025-09-30,Udupi,Kalita,Murder,BNS 103,property dispute,under-investigation,True
FIR-2025-KAL-0833,2025-08-13,Kalaburagi,Sinha Ganj,Rioting,BNS 191,communal flashpoint clash,convicted,True
FIR-2025-VIJ-0834,2025-11-04,Vijayapur,Chatterjee Zila,Burglary,BNS 331,lock-picking daytime entry,charge-sheeted,True
FIR-2024-BAG-0835,2024-05-20,Bagalkot,Khanna Path,Murder,BNS 103,property dispute,convicted,True
FIR-2025-UDU-0836,2025-03-25,Udupi,Narasimhan Ganj,Extortion,BNS 308,digital arrest threat call,under-investigation,True
FIR-2024-VIJ-0837,2024-11-20,Vijayapur,Tailor Road,Rioting,BNS 191,protest escalation,convicted,True
FIR-2025-SHI-0838,2025-01-04,Shivamogga,Patil Ganj,Cyber Fraud,IT Act 66D,OTP social engineering,charge-sheeted,True
FIR-2024-KOL-0839,2024-05-11,Kolar,Thakur Chowk,Burglary,BNS 331,night house-break via rear entry,convicted,True
FIR-2024-DAK-0840,2024-06-25,Dakshina Kannada,Rege Road,Cheating,BNS 318,land document forgery,convicted,True
FIR-2024-UDU-0841,2024-11-09,Udupi,Agate Street,Burglary,BNS 331,lock-picking daytime entry,closed,True
FIR-2024-RAI-0842,2024-02-17,Raichur,Swaminathan Zila,Cheating,BNS 318,land document forgery,convicted,True
FIR-2025-DHA-0843,2025-04-20,Dharwad,Aurora Street,Extortion,BNS 308,protection money demand,under-investigation,True
FIR-2025-KAL-0844,2025-06-11,Kalaburagi,Sinha Ganj,Burglary,BNS 331,terrace entry,court-pending,True
FIR-2024-BAG-0845,2024-12-02,Bagalkot,Ghosh Nagar,Theft,BNS 303,vehicle theft from parking,convicted,True
FIR-2024-DAK-0846,2024-07-21,Dakshina Kannada,Shetty Zila,Murder,BNS 103,personal enmity,convicted,True
FIR-2024-BAG-0847,2024-08-07,Bagalkot,Ghosh Nagar,Extortion,BNS 308,protection money demand,court-pending,True
FIR-2025-BEL-0848,2025-11-10,Belagavi,Pillay Chowk,Extortion,BNS 308,digital arrest threat call,convicted,True
FIR-2024-BAG-0849,2024-11-10,Bagalkot,Ben Road,Robbery,BNS 309,knife-point street robbery,court-pending,True
FIR-2025-BAL-0850,2025-11-27,Ballari,Prabhakar Chowk,Chain Snatching,BNS 304,market crowd snatching,under-investigation,True
FIR-2024-KOL-0851,2024-08-23,Kolar,Thakur Chowk,NDPS,NDPS Act 20,street-level peddling,charge-sheeted,True
FIR-2025-DHA-0852,2025-09-16,Dharwad,Ghosh Road,NDPS,NDPS Act 20,courier parcel concealment,under-investigation,True
FIR-2024-BEN-0853,2024-11-03,Bengaluru City,Sagar Path,Chain Snatching,BNS 304,two-wheeler drive-by snatching,closed,True
FIR-2024-DAK-0854,2024-05-27,Dakshina Kannada,Rege Road,Chain Snatching,BNS 304,two-wheeler drive-by snatching,charge-sheeted,True
FIR-2024-KAL-0855,2024-10-09,Kalaburagi,Kant,Robbery,BNS 309,ATM-exit targeting,under-investigation,True
FIR-2024-CHI-0856,2024-04-15,Chickballapura,Comar Circle,NDPS,NDPS Act 20,courier parcel concealment,court-pending,True
FIR-2024-UDU-0857,2024-02-11,Udupi,Agate Street,Theft,BNS 303,vehicle theft from parking,court-pending,True
FIR-2025-CHI-0858,2025-01-06,Chickballapura,Pathak Chowk,Robbery,BNS 309,ATM-exit targeting,charge-sheeted,True
FIR-2025-DAV-0859,2025-11-13,Davanagere,Kalla Path,Cheating,BNS 318,investment ponzi scheme,under-investigation,True
FIR-2025-UDU-0860,2025-07-28,Udupi,Dhillon Road,Extortion,BNS 308,protection money demand,under-investigation,True
FIR-2024-BAG-0861,2024-02-10,Bagalkot,Ben Road,Burglary,BNS 331,terrace entry,court-pending,True
FIR-2024-DHA-0862,2024-10-26,Dharwad,Zachariah Street,Robbery,BNS 309,highway vehicle stop,convicted,True
FIR-2025-DAK-0863,2025-10-12,Dakshina Kannada,Rege Road,Cyber Fraud,IT Act 66D,OTP social engineering,court-pending,True
FIR-2024-SHI-0864,2024-08-21,Shivamogga,Patil Ganj,Cyber Fraud,IT Act 66D,UPI phishing call,closed,True
FIR-2024-HAS-0865,2024-12-25,Hassan,Bail,Extortion,BNS 308,protection money demand,closed,True
FIR-2024-UDU-0866,2024-07-01,Udupi,Kalita,NDPS,NDPS Act 20,hostel network supply,court-pending,True
FIR-2025-TUM-0867,2025-08-06,Tumakuru,Pau Marg,Rioting,BNS 191,protest escalation,closed,True
FIR-2025-BAL-0868,2025-05-21,Ballari,Saini Circle,Murder,BNS 103,personal enmity,under-investigation,True
FIR-2025-BAG-0869,2025-05-09,Bagalkot,Ben Road,Burglary,BNS 331,terrace entry,court-pending,True
FIR-2025-MAN-0870,2025-01-14,Mandya,Dass Ganj,Cheating,BNS 318,fake job placement racket,charge-sheeted,True
FIR-2025-CHI-0871,2025-12-26,Chickballapura,Soni Zila,NDPS,NDPS Act 20,hostel network supply,under-investigation,True
FIR-2025-DHA-0872,2025-08-28,Dharwad,Zachariah Street,Extortion,BNS 308,protection money demand,closed,True
FIR-2025-DAV-0873,2025-08-06,Davanagere,Reddy Chowk,Theft,BNS 303,shop till theft,convicted,True
FIR-2024-RAI-0874,2024-11-13,Raichur,Sandhu Marg,Extortion,BNS 308,digital arrest threat call,charge-sheeted,True
FIR-2024-VIJ-0875,2024-06-14,Vijayapur,Chatterjee Zila,Cheating,BNS 318,investment ponzi scheme,closed,True
FIR-2024-MAN-0876,2024-07-06,Mandya,Dass Ganj,Rioting,BNS 191,protest escalation,convicted,True
FIR-2025-MYS-0877,2025-06-20,Mysuru,Mahajan Circle,Robbery,BNS 309,knife-point street robbery,convicted,True
FIR-2024-BEN-0878,2024-11-09,Bengaluru City,Zacharia Street,Cheating,BNS 318,investment ponzi scheme,convicted,True
FIR-2025-DAK-0879,2025-09-06,Dakshina Kannada,Barad Nagar,Chain Snatching,BNS 304,two-wheeler drive-by snatching,convicted,True
FIR-2024-BEL-0880,2024-10-25,Belagavi,Pillay Chowk,Theft,BNS 303,pickpocketing in transit,convicted,True
FIR-2025-RAI-0881,2025-11-05,Raichur,Swaminathan Zila,Extortion,BNS 308,protection money demand,convicted,True
FIR-2024-MAN-0882,2024-02-12,Mandya,Nath Nagar,Cheating,BNS 318,fake job placement racket,closed,True
FIR-2025-RAI-0883,2025-08-11,Raichur,Swaminathan Zila,Rioting,BNS 191,communal flashpoint clash,convicted,True
FIR-2024-CHI-0884,2024-01-25,Chickballapura,Sama Street,Extortion,BNS 308,digital arrest threat call,charge-sheeted,True
FIR-2025-RAI-0885,2025-08-24,Raichur,Srinivas Nagar,Theft,BNS 303,pickpocketing in transit,court-pending,True
FIR-2025-DAK-0886,2025-06-20,Dakshina Kannada,Dey Zila,NDPS,NDPS Act 20,street-level peddling,convicted,True
FIR-2024-VIJ-0887,2024-03-15,Vijayapur,Rama Street,Cyber Fraud,IT Act 66D,UPI phishing call,under-investigation,True
FIR-2025-KAL-0888,2025-02-15,Kalaburagi,Sinha Ganj,Burglary,BNS 331,lock-picking daytime entry,court-pending,True
